Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    34.878965   52.773883

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7915545860E+000   0.1276318506E+001
Box 2    0.3582483157E+001   0.1194249057E+002

Rotation per molecule type
Box 1    0.4707516445E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.7464052277E+003
Box 2   0.7711368131E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 471   
  2       21.1792800035       32.3343851563       32.3774675307
  2       14.6068450113       11.0058185185       16.2239077597
  3       15.0544230177       11.5784976410       17.1279611600
  2       15.5020010242       12.1511767636       18.0320145604
  2       30.0914150939       23.3283936635       30.4099287205
  3       29.2738746493       23.2207245011       31.2257932760
  2       28.4563342048       23.1130553387       32.0416578315
  2       33.3582395440       23.3322652579        7.9120296138
  3       32.2074151267       23.2580711501        7.7867363792
  2       31.0565907092       23.1838770423        7.6614431444
  2        4.8217310618       29.6440330111        0.6072742560
  3        4.3364321044       29.7100651393        1.6588086968
  2        3.8511331471       29.7760972673        2.7103431376
  2        7.2806221733       25.4666674382        0.5293042702
  3        6.2878934517       26.0667016080        0.5223271475
  2        5.2951647300       26.6667357779        0.5153500248
  2       17.4094366140       15.4024483173        1.5839903519
  3       17.3153102178       16.0972729194        0.6598913345
  2       17.2211838216       16.7920975215       -0.2642076828
  2       18.8791091780        3.6970762092       18.8559246533
  3       18.0465628496        4.3824606214       19.2833761930
  2       17.2140165212        5.0678450335       19.7108277326
  2       10.5890650445        2.8302694886       33.5809162884
  3       11.0146628531        3.6893598237       32.9278999782
  2       11.4402606616        4.5484501589       32.2748836679
  2       31.1446384221       31.2840591546       11.0816049049
  3       30.6044361217       30.4872054345       11.7287568371
  2       30.0642338212       29.6903517145       12.3759087693
  2       33.0202203707       14.6451497858       33.5299402045
  3       32.3552682708       14.7797058051       34.4708617647
  2       31.6903161710       14.9142618245       35.4117833249
  2        8.2615245144       17.2886607602       21.3555967928
  3        7.8844299395       17.5233663932       22.4271904413
  2        7.5073353647       17.7580720263       23.4987840897
  2       13.4380600288        9.9901277252        3.1862497592
  3       14.1364327413        9.8858517656        2.2659226007
  2       14.8348054538        9.7815758061        1.3455954422
  2       14.6935847829       26.9130199345       23.0598918184
  3       14.6530182072       25.9808659163       23.7491256244
  2       14.6124516316       25.0487118980       24.4383594304
  2       22.1120884466       16.0750330148        3.1912713284
  3       21.2649518052       16.0936743729        2.3990516553
  2       20.4178151636       16.1123157310        1.6068319822
  2       14.2578510855       17.9800872308       31.8352259003
  3       13.9557549305       17.9255270157       30.7165833765
  2       13.6536587755       17.8709668006       29.5979408527
  2       11.3784132876       33.8583507816       22.8843380575
  3       12.3408480480       34.1069888282       22.2864263133
  2       13.3032828084       34.3556268748       21.6885145692
  2       12.1293774808        9.9577130885       18.4993626984
  3       11.6581948054        9.5450555624       17.5229915330
  2       11.1870121301        9.1323980363       16.5466203677
  2       17.0939043507        8.6838172339       27.3761914891
  3       16.0424387672        8.1961055823       27.3297428988
  2       14.9909731836        7.7083939307       27.2832943087
  2       32.8115114691       25.6844979635        2.5160334880
  3       33.4269189671       26.5885714745        2.9027177237
  2       34.0423264653       27.4926449854        3.2894019594
  2       24.7015602022        2.5192369118        2.3093171040
  3       23.8357395484        3.0777762504        1.7764114813
  2       22.9699188946        3.6363155890        1.2435058586
  2        1.6895783731       29.1094686278        5.4267160693
  3        2.0174517801       28.1977156874        4.7889029268
  2        2.3453251871       27.2859627470        4.1510897843
  2       25.1682459712       31.2730018843        3.4086778330
  3       25.2451505991       30.1577558760        3.7183744900
  2       25.3220552269       29.0425098678        4.0280711470
  2        8.5609636181       18.5079117928        9.7093387394
  3        8.2402515863       17.4555976452        9.3414002565
  2        7.9195395545       16.4032834974        8.9734617734
  2       11.4598613780       31.8434763551       18.7373971785
  3       11.1841678359       32.8801120353       18.2958323053
  2       10.9084742936       33.9167477156       17.8542674321
  2        7.7656569518       30.4472609683        0.7914798159
